Replicate,Day,Treatment,Female_Mortality,Insemination,Mycosis,Male_hpi
Replicate1,13,Hybrid,0,0,0,12
Replicate1,14,Control,1,1,0,12
Replicate1,14,RFP,0,0,0,12
Replicate1,14,Hybrid,0,0,0,12
Replicate1,Alive,Control,42,34,0,12
Replicate1,Alive,RFP,22,21,0,12
Replicate1,Alive,Hybrid,10,8,0,12
Replicate2,2,Hybrid,0,0,0,12
Replicate2,2,Control,4,4,0,12
Replicate2,2,RFP,2,2,0,12
Replicate2,3,Control,0,0,0,12
Replicate2,3,Hybrid,3,3,3,12
Replicate2,3,RFP,2,2,1,12
Replicate2,4,Control,1,1,0,12
Replicate2,4,Hybrid,2,1,2,12
Replicate2,4,RFP,0,0,0,12
Replicate2,5,Hybrid,4,4,4,12
Replicate2,5,RFP,0,0,0,12
Replicate2,5,Control,0,0,0,12
Replicate2,6,RFP,4,3,2,12
Replicate2,6,Hybrid,14,14,14,12
Replicate2,6,Control,1,0,0,12
Replicate2,7,Control,1,0,0,12
Replicate2,7,Hybrid,0,0,0,12
Replicate2,7,RFP,6,6,4,12
Replicate2,8,RFP,7,7,7,12
Replicate2,8,Control,1,1,0,12
Replicate2,8,Hybrid,6,5,5,12
Replicate2,9,Control,0,0,0,12
Replicate2,9,RFP,5,4,2,12
Replicate2,9,Hybrid,1,0,0,12
Replicate2,10,Control,0,0,0,12
Replicate2,10,RFP,1,1,1,12
Replicate2,10,Hybrid,6,6,6,12
Replicate2,11,Control,0,0,0,12
Replicate2,11,RFP,1,1,1,12
Replicate2,11,Hybrid,1,1,1,12
Replicate2,12,Control,0,0,0,12
Replicate2,12,RFP,0,0,0,12
Replicate2,12,Hybrid,0,0,0,12
Replicate2,13,Control,3,2,0,12
Replicate2,13,RFP,0,0,0,12
Replicate2,13,Hybrid,0,0,0,12
Replicate2,14,Control,4,4,0,12
Replicate2,14,RFP,0,0,0,12
Replicate2,14,Hybrid,0,0,0,12
Replicate2,Alive,Control,35,33,0,12
Replicate2,Alive,RFP,22,18,0,12
Replicate2,Alive,Hybrid,13,8,0,12
Replicate3,2,Hybrid,2,1,1,12
Replicate3,2,Control,0,0,0,12
Replicate3,2,RFP,0,0,0,12
Replicate3,3,Control,1,1,0,12
Replicate3,3,Hybrid,0,0,0,12
Replicate3,3,RFP,1,1,1,12
Replicate3,4,Control,3,3,0,12
Replicate3,4,Hybrid,0,0,0,12
Replicate3,4,RFP,4,2,1,12
Replicate3,5,Hybrid,1,1,1,12
Replicate3,5,RFP,0,0,0,12
Replicate3,5,Control,1,0,0,12
Replicate3,6,RFP,6,6,3,12
Replicate3,6,Hybrid,17,15,15,12
Replicate3,6,Control,2,0,0,12
Replicate3,7,Control,1,1,0,12
Replicate3,7,Hybrid,16,12,13,12
Replicate3,7,RFP,4,3,3,12
Replicate3,8,RFP,8,7,5,12
Replicate3,8,Control,0,0,0,12
Replicate3,8,Hybrid,1,0,0,12
Replicate3,9,Control,0,0,0,12
Replicate3,9,RFP,0,0,0,12
Replicate3,9,Hybrid,1,0,0,12
Replicate3,10,Control,0,0,0,12
Replicate3,10,RFP,0,0,0,12
Replicate3,10,Hybrid,0,0,0,12
Replicate3,11,Control,0,0,0,12
Replicate3,11,RFP,0,0,0,12
Replicate3,11,Hybrid,3,2,2,12
Replicate3,12,Control,0,0,0,12
Replicate3,12,RFP,0,0,0,12
Replicate3,12,Hybrid,0,0,0,12
Replicate3,13,Control,1,0,0,12
Replicate3,13,RFP,1,0,0,12
Replicate3,13,Hybrid,0,0,0,12
Replicate3,14,Control,0,0,0,12
Replicate3,14,RFP,0,0,0,12
Replicate3,14,Hybrid,0,0,0,12
Replicate3,Alive,Control,41,36,0,12
Replicate3,Alive,RFP,26,18,0,12
Replicate3,Alive,Hybrid,9,9,0,12
Replicate1,2,Hybrid,0,0,0,24
Replicate1,2,Control,1,1,0,24
Replicate1,2,RFP,0,0,0,24
Replicate1,3,Control,0,0,0,24
Replicate1,3,Hybrid,0,0,0,24
Replicate1,3,RFP,1,1,1,24
Replicate1,4,Control,1,1,0,24
Replicate1,4,Hybrid,5,3,2,24
Replicate1,4,RFP,0,0,0,24
Replicate1,5,Hybrid,4,2,4,24
Replicate1,5,RFP,2,2,1,24
Replicate1,5,Control,0,0,0,24
